## n_models: 50 cutoff: 1000 n_keep: 25 close_bins: 1
# scale	max_dist	up_freq	low_freq	correlation
0.005	2000	0.2	-1	0.736550766907
0.005	2000	0.2	-0.8	0.736550766907
0.005	2000	0.2	-0.6	0.739197401244
0.005	2000	0.2	-0.4	0.748512851683
0.005	2000	0.2	-0.2	0.759367095249
0.005	2000	0.2	0	0.757125437643
0.005	2000	0.4	-1	0.738404140864
0.005	2000	0.4	-0.8	0.738404140864
0.005	2000	0.4	-0.6	0.737428332296
0.005	2000	0.4	-0.4	0.744120894009
0.005	2000	0.4	-0.2	0.7509284269
0.005	2000	0.4	0	0.757708315718
0.005	2000	0.6	-1	0.740567836061
0.005	2000	0.6	-0.8	0.740567836061
0.005	2000	0.6	-0.6	0.740230757421
0.005	2000	0.6	-0.4	0.744747982416
0.005	2000	0.6	-0.2	0.747628293819
0.005	2000	0.6	0	0.752006489453
0.005	2000	0.8	-1	0.736223513772
0.005	2000	0.8	-0.8	0.736223513772
0.005	2000	0.8	-0.6	0.736634397331
0.005	2000	0.8	-0.4	0.743080361647
0.005	2000	0.8	-0.2	0.739923363466
0.005	2000	0.8	0	0.742693908681
0.005	2500	0.2	-1	0.708962299702
0.005	2500	0.2	-0.8	0.708962299702
0.005	2500	0.2	-0.6	0.710549634262
0.005	2500	0.2	-0.4	0.714916681013
0.005	2500	0.2	-0.2	0.715352155698
0.005	2500	0.2	0	0.717177065337
0.005	2500	0.4	-1	0.698481054242
0.005	2500	0.4	-0.8	0.698481054242
0.005	2500	0.4	-0.6	0.701269957482
0.005	2500	0.4	-0.4	0.702862621024
0.005	2500	0.4	-0.2	0.704053434281
0.005	2500	0.4	0	0.703524212778
0.005	2500	0.6	-1	0.683409831473
0.005	2500	0.6	-0.8	0.683409831473
0.005	2500	0.6	-0.6	0.684235014051
0.005	2500	0.6	-0.4	0.683539047516
0.005	2500	0.6	-0.2	0.684239075964
0.005	2500	0.6	0	0.686057178614
0.005	2500	0.8	-1	0.651224701459
0.005	2500	0.8	-0.8	0.651224701459
0.005	2500	0.8	-0.6	0.649534005044
0.005	2500	0.8	-0.4	0.649755890264
0.005	2500	0.8	-0.2	0.658154178092
0.005	2500	0.8	0	0.656225162572
0.005	3000	0.2	-1	0.66367331328
0.005	3000	0.2	-0.8	0.66367331328
0.005	3000	0.2	-0.6	0.663028474022
0.005	3000	0.2	-0.4	0.664840264975
0.005	3000	0.2	-0.2	0.661357113308
0.005	3000	0.2	0	0.661561750302
0.005	3000	0.4	-1	0.64800835292
0.005	3000	0.4	-0.8	0.64800835292
0.005	3000	0.4	-0.6	0.646942885765
0.005	3000	0.4	-0.4	0.64488281356
0.005	3000	0.4	-0.2	0.635136380073
0.005	3000	0.4	0	0.638411376707
0.005	3000	0.6	-1	0.618753124704
0.005	3000	0.6	-0.8	0.618753124704
0.005	3000	0.6	-0.6	0.61931543147
0.005	3000	0.6	-0.4	0.617415707019
0.005	3000	0.6	-0.2	0.619256043903
0.005	3000	0.6	0	0.618026753371
0.005	3000	0.8	-1	0.569799452909
0.005	3000	0.8	-0.8	0.569799452909
0.005	3000	0.8	-0.6	0.569844775327
0.005	3000	0.8	-0.4	0.569674772176
0.005	3000	0.8	-0.2	0.575372568085
0.005	3000	0.8	0	0.574853817373
0.005	3500	0.2	-1	0.607886485327
0.005	3500	0.2	-0.8	0.607886485327
0.005	3500	0.2	-0.6	0.607200950438
0.005	3500	0.2	-0.4	0.60485690767
0.005	3500	0.2	-0.2	0.608823237062
0.005	3500	0.2	0	0.607103791782
0.005	3500	0.4	-1	0.58782511735
0.005	3500	0.4	-0.8	0.58782511735
0.005	3500	0.4	-0.6	0.588461407952
0.005	3500	0.4	-0.4	0.590324482224
0.005	3500	0.4	-0.2	0.589974234942
0.005	3500	0.4	0	0.592586346674
0.005	3500	0.6	-1	0.560342294245
0.005	3500	0.6	-0.8	0.560342294245
0.005	3500	0.6	-0.6	0.558583294381
0.005	3500	0.6	-0.4	0.555456645204
0.005	3500	0.6	-0.2	0.553867186006
0.005	3500	0.6	0	0.559480426023
0.005	3500	0.8	-1	0.513556260552
0.005	3500	0.8	-0.8	0.513556260552
0.005	3500	0.8	-0.6	0.513559505351
0.005	3500	0.8	-0.4	0.518727161128
0.005	3500	0.8	-0.2	0.52201365468
0.005	3500	0.8	0	0.52233648168
0.005	4000	0.2	-1	0.575227850944
0.005	4000	0.2	-0.8	0.575227850944
0.005	4000	0.2	-0.6	0.576724677196
0.005	4000	0.2	-0.4	0.574535351308
0.005	4000	0.2	-0.2	0.572390243247
0.005	4000	0.2	0	0.575352177989
0.005	4000	0.4	-1	0.538365023617
0.005	4000	0.4	-0.8	0.538365023617
0.005	4000	0.4	-0.6	0.537793250407
0.005	4000	0.4	-0.4	0.54567809082
0.005	4000	0.4	-0.2	0.545020523107
0.005	4000	0.4	0	0.544277728643
0.005	4000	0.6	-1	0.512936844971
0.005	4000	0.6	-0.8	0.512936844971
0.005	4000	0.6	-0.6	0.512076044203
0.005	4000	0.6	-0.4	0.511488305197
0.005	4000	0.6	-0.2	0.509611637573
0.005	4000	0.6	0	0.514384570684
0.005	4000	0.8	-1	0.480577922781
0.005	4000	0.8	-0.8	0.480577922781
0.005	4000	0.8	-0.6	0.480579294169
0.005	4000	0.8	-0.4	0.479348613589
0.005	4000	0.8	-0.2	0.473616243909
0.005	4000	0.8	0	0.478982729296
