Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000207604	6	52117106	52117191
ENSG00000212552	17	2179163	2179257
ENSG00000202261	15	23047099	23047180
ENSG00000207742	14	100590396	100590471
ENSG00000201937	15	23014857	23014938
ENSG00000207932	22	40626894	40626962
ENSG00000199102	4	113788968	113789035
ENSG00000199960	15	22991161	22991241
ENSG00000208013	X	109185213	109185310
ENSG00000216774	9	30660962	30661964
ENSG00000219252	9	30548885	30549563
ENSG00000207934	14	100576309	100576389
ENSG00000207603	9	85774483	85774592
ENSG00000221740	7	22862757	22862830
ENSG00000207578	5	95440598	95440672
ENSG00000207733	19	3912412	3912510
ENSG00000217834	9	29814756	29816709
ENSG00000199910	1	226832760	226832878
ENSG00000202503	19	54685973	54686043
ENSG00000218492	c6_QBL	29989678	29992399
ENSG00000220842	10	122104417	122104685
ENSG00000217453	1	933317	933472
ENSG00000207574	8	145091347	145091435
ENSG00000203634	3	181005294	181005703
ENSG00000211563	17	76714278	76714344
ENSG00000207344	7	64163812	64163945
ENSG00000218767	9	29626484	29626851
ENSG00000213188	7	151456985	151457708
ENSG00000203275	9	138630582	138631119
ENSG00000197300	11	118378881	118379120
ENSG00000217213	9	29244054	29244423
ENSG00000202252	11	122435253	122435340
ENSG00000221548	19	58953298	58953384
ENSG00000202293	14	100519016	100519087
ENSG00000222532	X	62922607	62922692
ENSG00000201318	14	100528009	100528080
ENSG00000200832	14	100490464	100490538
ENSG00000202538	12	119213949	119214089
ENSG00000207790	1	206042411	206042491
ENSG00000213225	2	130703422	130705656
ENSG00000213228	17	55865866	55866442
ENSG00000219585	9	5030945	5031940
ENSG00000220099	9	28588666	28589290
ENSG00000213211	6	86054163	86055450
ENSG00000200792	21	32671367	32671502
ENSG00000199130	16	14310643	14310729
ENSG00000207599	19	58870777	58870863
ENSG00000215973	2	175740607	175740683
ENSG00000176366	7	143083351	143085550
ENSG00000179487	10	114820980	114821437
ENSG00000218248	9	28138209	28139228
ENSG00000211773	7	142220395	142221097
ENSG00000211771	7	142205268	142205314
ENSG00000211770	7	142205051	142205103
ENSG00000211769	7	142204931	142204978
ENSG00000211768	7	142204810	142204859
ENSG00000211766	7	142204509	142204554
ENSG00000211765	7	142204372	142204422
ENSG00000211764	7	142204177	142204226
ENSG00000211759	7	142196037	142196087
ENSG00000211758	7	142195442	142195491
ENSG00000211756	7	142194692	142194739
ENSG00000211754	7	142127703	142128316
ENSG00000211751	7	142058172	142058639
ENSG00000211747	7	142015233	142015905
ENSG00000211743	7	141981607	141982075
ENSG00000211742	7	141976532	141976964
ENSG00000211741	7	141969589	141970035
ENSG00000211738	7	141943473	141943910
ENSG00000211737	7	141932825	141933274
ENSG00000211736	7	141924413	141924896
ENSG00000211735	7	141917894	141918366
ENSG00000211734	7	141908693	141909159
ENSG00000211733	7	141900477	141900960
ENSG00000211731	7	141888557	141889023
ENSG00000211729	7	141875852	141876280
ENSG00000211727	7	141860651	141861143
ENSG00000211725	7	141851028	141851492
ENSG00000179724	2	120695970	120697022
