Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000004848	X	24932213	24943775
ENSG00000005073	7	27187301	27191360
ENSG00000005102	17	39073296	39094788
ENSG00000006377	7	96473226	96478288
ENSG00000007372	11	31766868	31796085
ENSG00000009709	1	18830087	18944010
ENSG00000016082	5	50714715	50726308
ENSG00000028277	19	47284515	47328470
ENSG00000037965	12	52689157	52692814
ENSG00000043039	11	128751091	128827384
ENSG00000052850	11	44238570	44288195
ENSG00000063515	22	17516089	17517796
ENSG00000064195	17	45422388	45427587
ENSG00000064835	3	87391473	87408427
ENSG00000069011	5	134392171	134397812
ENSG00000078399	7	27168583	27175794
ENSG00000089116	12	112385077	112394260
ENSG00000090661	19	8180257	8233302
ENSG00000091010	5	145698780	145700276
ENSG00000091656	8	77756078	77942076
ENSG00000100625	14	60246009	60260545
ENSG00000100987	20	25000120	25010996
ENSG00000101126	20	48938992	48980934
ENSG00000101544	18	75967903	75999217
ENSG00000101883	X	119127053	119133875
ENSG00000105392	19	53016911	53038393
ENSG00000105419	19	52598204	52614597
ENSG00000105717	19	19533524	19590725
ENSG00000105880	7	96487638	96492079
ENSG00000105991	7	27099141	27102150
ENSG00000105996	7	27106499	27108919
ENSG00000105997	7	27112334	27158458
ENSG00000106004	7	27147521	27149812
ENSG00000106006	7	27151641	27153893
ENSG00000106031	7	27203024	27206250
ENSG00000106038	7	27248689	27252717
ENSG00000106331	7	127037582	127043218
ENSG00000106410	7	143726972	143738253
ENSG00000106511	7	15617368	15692833
ENSG00000106536	7	38984123	39470915
ENSG00000106689	9	125813710	125835257
ENSG00000106852	9	124004677	124031041
ENSG00000107187	9	138227919	138236776
ENSG00000107807	10	102880597	102887526
ENSG00000107859	10	103979936	103991221
ENSG00000108511	17	44028098	44037333
ENSG00000108753	17	33120548	33179209
ENSG00000108813	17	45401561	45406948
ENSG00000109132	4	41440857	41445744
ENSG00000109705	4	13151552	13155212
ENSG00000109851	11	20134336	20138446
ENSG00000111249	12	109956212	110272739
ENSG00000111704	12	7833262	7839922
ENSG00000113430	5	1930549	1935880
ENSG00000113722	5	149526556	149544187
ENSG00000115297	2	74595119	74597396
ENSG00000115507	2	63130696	63138475
ENSG00000115844	2	172672413	172675724
ENSG00000116035	2	70981228	71014081
ENSG00000116132	1	168899937	168975165
ENSG00000118707	20	34635305	34655767
ENSG00000119042	2	199842476	200038076
ENSG00000119547	18	53253915	53309527
ENSG00000119614	14	73775928	73799187
ENSG00000119919	10	101282700	101285468
ENSG00000120068	17	44044708	44047300
ENSG00000120075	17	44023619	44026127
ENSG00000120087	17	44039602	44043382
ENSG00000120093	17	43981232	44006809
ENSG00000120094	17	43961806	43963271
ENSG00000120149	5	174084181	174090507
ENSG00000121297	19	36457691	36532271
ENSG00000121454	1	178466065	178510811
ENSG00000122592	7	27159860	27164080
ENSG00000123364	12	52618843	52626594
ENSG00000123388	12	52653177	52656468
ENSG00000123407	12	52634981	52636617
ENSG00000123576	X	103381376	103386244
ENSG00000125492	9	134447814	134455461
ENSG00000125816	20	21324005	21326047
ENSG00000125820	20	21439669	21442664
ENSG00000126656	17	23715417	23716392
ENSG00000126778	14	60182506	60185933
ENSG00000128645	2	176761553	176763881
ENSG00000128652	2	176733865	176746072
